,pool_fees,url,PnL,APR,fee_APR,value,age,price_lwr,price_upr
0,0.30%,https://revert.finance/#/uniswap-position/mainnet/312684,85084.14,20.3,20.39,2804470.28,54.5,11.5061,15.1631
1,0.30%,https://revert.finance/#/uniswap-position/mainnet/303732,142183.59,67.14,37.43,822076.02,76.1,12.1445,13.6928
2,0.30%,https://revert.finance/#/uniswap-position/mainnet/307686,40051.53,27.46,27.54,814482.37,69.5,13.6108,15.9086
3,0.30%,https://revert.finance/#/uniswap-position/mainnet/298444,37183.85,23.96,23.99,756293.96,74.9,13.0511,15.3461
4,0.30%,https://revert.finance/#/uniswap-position/mainnet/108881,162142.64,20.68,20.95,731351.51,460.3,12.1445,16.1975
5,0.30%,https://revert.finance/#/uniswap-position/mainnet/298447,33903.5,23.86,23.96,692087.8,74.9,13.0511,15.3461
6,0.30%,https://revert.finance/#/uniswap-position/mainnet/345224,12674.21,87.56,91.74,657723.03,15.2,12.3650,14.5394
7,0.30%,https://revert.finance/#/uniswap-position/mainnet/312464,19732.69,20.82,20.96,629284.5,55.0,11.7151,15.6248
8,0.30%,https://revert.finance/#/uniswap-position/mainnet/288381,18400.48,20.65,21.43,463959.9,87.0,11.3008,15.2543
9,0.30%,https://revert.finance/#/uniswap-position/mainnet/271241,22634.59,20.63,25.99,356716.93,110.4,12.0718,15.9086
10,0.30%,https://revert.finance/#/uniswap-position/mainnet/298448,16692.6,23.82,23.95,341125.97,75.0,13.0511,15.3461
11,0.05%,https://revert.finance/#/uniswap-position/mainnet/314331,8984.16,24.65,24.78,255115.51,52.1,12.4768,15.3768
12,0.30%,https://revert.finance/#/uniswap-position/mainnet/298451,14189.58,26.44,29.79,247074.03,78.7,13.0511,15.3461
13,0.30%,https://revert.finance/#/uniswap-position/mainnet/298442,12328.08,26.43,29.79,214708.89,78.7,13.0511,15.3461
14,0.05%,https://revert.finance/#/uniswap-position/mainnet/283886,9375.89,20.55,21.47,212414.19,99.9,11.3008,16.5082
15,0.05%,https://revert.finance/#/uniswap-position/mainnet/289026,8225.36,27.5,30.04,127992.89,86.2,12.2542,14.2801
16,0.30%,https://revert.finance/#/uniswap-position/mainnet/275551,12906.76,40.37,40.43,107849.13,108.2,12.4394,13.2086
17,0.30%,https://revert.finance/#/uniswap-position/mainnet/287409,5371.65,21.31,22.26,103823.76,88.4,11.8565,16.1006
18,0.30%,https://revert.finance/#/uniswap-position/mainnet/316646,2581.34,21.76,22.39,76526.81,56.5,11.4373,15.9086
19,0.30%,https://revert.finance/#/uniswap-position/mainnet/286536,3611.19,23.86,24.73,61502.71,89.6,12.4394,14.1097
20,0.30%,https://revert.finance/#/uniswap-position/mainnet/348155,567.17,31.12,36.23,54553.84,15.8,11.3688,16.2950
21,0.30%,https://revert.finance/#/uniswap-position/mainnet/228176,6068.26,21.43,22.94,54533.02,190.2,12.3650,15.3461
22,0.05%,https://revert.finance/#/uniswap-position/mainnet/293755,2667.12,27.11,34.14,41637.39,84.8,12.3527,14.9523
23,0.30%,https://revert.finance/#/uniswap-position/mainnet/316770,1165.64,21.42,25.63,39793.05,49.6,12.5143,15.3461
24,0.30%,https://revert.finance/#/uniswap-position/mainnet/313055,1112.93,21.73,22.13,34606.05,54.0,11.8565,14.7149
25,0.05%,https://revert.finance/#/uniswap-position/mainnet/292514,1704.0,22.88,23.76,32896.32,82.5,11.1104,14.7002
26,0.30%,https://revert.finance/#/uniswap-position/mainnet/316958,932.68,21.29,25.71,32150.03,49.4,12.5143,15.3461
27,0.30%,https://revert.finance/#/uniswap-position/mainnet/345560,932.85,63.69,66.82,29444.72,18.9,12.5143,14.8926
28,0.05%,https://revert.finance/#/uniswap-position/mainnet/219436,4474.53,28.1,28.5,26467.21,219.1,12.5268,13.6791
29,0.30%,https://revert.finance/#/uniswap-position/mainnet/42411,7075.53,21.63,22.0,22919.19,518.2,14.1947,16.6908
30,0.30%,https://revert.finance/#/uniswap-position/mainnet/347551,833.89,102.48,109.91,22126.15,16.5,12.6654,13.6108
